lakk,ka'umsa,ka'umsa,ga'umsa,nama,a,a,a,a,d,s
aarti,,"<h3>Cibra</h3> 1] (Hinduzimii) qaama sirna daadimannaa amantii Hinduzimii, ixaana dhadhaa baqsame aarsuun daadimatamu.",,,,,,,,
aatheist,,"<h3>Cibra</h3> 1] ateeyistii, kan waaqayyotti hin amanne.",,,,,,,,
abaca,,<h3>Cibra</h3> 1] gosa biqiltuu muuzii kan biyya Filiinpiinsitti argamu kan waraqaa fi wadaroo garaa garaa hojjechuuf nu gargaaru.,,,,,,,,
abacate,,"<h3>Cibra</h3> 1] avookaadoo, abukaadoo",,,,,,,,
aback,,"<h3>Maqibsa</h3> 1] rifachuu, na'uu. 2] duubatti hafuu",,,,,,,,
abacus,,<h3>Cibra</h3> 1] caasaa sibiilaa gaggabaabduu kan waanti akk sibiilaa yookiin callee irra naqame (kan dur daa'ima lakkoofsa ittiin barsiisan) 2] kompiitera jalqaba hojjetame.,,,,,,,,
abandon,,<h3>Gochima</h3> 1] guutummaatti dhiisuu. 2] ganuu,,,,,,,,
Abandon (ICT),,"<h3>Gochima</h3> 1] Dhiisuu, Gatuu, Gati, (ICT, Jecha Kompiitaraa)",,,,,,,,
abandoned,,"<h3>Maqibsa</h3> 1] kan gatame, kan dhiisame, duwwaa. 2] duubatti kan hafe.",,,,,,,,
abase,,"<h3>Gochima</h3> 1] qaana'uu. salphachuu, salphisuu 2] aankii loltummaa fi kkf gad butuu",,,,,,,,
abasement,,<h3>Cibra</h3> 1] salphina,,,,,,,,
abashed,,"<h3>Maqibsa</h3> 1] qaana'uu, yeella'uu, saalfachuu",,,,,,,,
abate,,"<h3>Gochima</h3> 1] laafuu, qabbanaa'uu, callisuu",,,,,,,,
abattoir,,"<h3>Cibra</h3> 1] lafqalii, maggoraa, qeeraa",,,,,,,,
abbess,,<h3>Cibra</h3> 1] bulchituu gamoo/gadaamii dubartootaa,,,,,,,,
abbey,,<h3>Cibra</h3> 1] gadaamii,,,,,,,,
abbot,,<h3>Cibra</h3> 1] bulchaa gadaamii,,,,,,,,
abbreviate,,<h3>Gochima</h3> 1] gabaabsuu (jecha),,,,,,,,
abbreviation,,<h3>Cibra</h3> 1] gabaajee,,,,,,,,
abdicate,,<h3>Gochima</h3> 1] aangoo ofii fedhiin dhiisuu 2] ittigaafatamummaa ofii sirriitti bu'uu dhabuu,,,,,,,,
abdomen,,"<h3>Cibra</h3> 1] huffaa, garaa",,,,,,,,
abduct,,"<h3>Gochima</h3> 1] butuu, ukkaamsanii fuudhanii deemuu",,,,,,,,
abduction,,"<h3>Cibra</h3> 1] butii, ukkaamsanii fuudhanii deemuu",,,,,,,,
aberration,,<h3>Cibra</h3> 1] Waan baratame tokko irraa maquu,,,,,,,,
abet,,"<h3>Gochima</h3> 1] saaduu, namni tokko waan dogoggoraa yookiin waan sirrii hin taane akka hojjetu jajjabeessuu ykn gargaaruu",,,,,,,,
abettor,,"<h3>Cibra</h3> 1] saaduu, hojii gadhee yookiin waan gaarii hin taaneef nama nama kakaasu",,,,,,,,
abeyance,,<h3>Cibra</h3> 1] yeroodhaaf hojiirra akka hin oolle waan ittifame,,,,,,,,
abhor,,"<h3>Gochima</h3> 1] jibbuu, balfuu",,,,,,,,
abhorrent,,"<h3>Maqibsa</h3> 1] fokkisaa, fokkistuu, fucungee",,,,,,,,
abide,,<h3>Cibra</h3> 1] obsuu 2] bakka tokko turuu,,,,,,,,
abiding,,"<h3>Maqibsa</h3> 1] yeroo dheeraaf kan turu, waara'aa",,,,,,,,
Abidjan,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Aayiverii Koosti,,,,,,,,
ability,,<h3>Cibra</h3> 1] dandeettii,,,,,,,,
abject,,"<h3>Xumibsa</h3> 1] salphaa, kan salphatee",,,,,,,,
abjure,,"<h3>Gochima</h3> 1] waan tokko dhiisuuf kakachuu yookiin waadaa galuu (amantii, mirgaafi kkf)",,,,,,,,
ablaze,,"<h3>Maqibsa</h3> 1] garmalee kan gubatu. 2] miidhagaa, gammachiisaa.",,,,,,,,
able,,"<h3>Maqibsa</h3> 1] dandeettii, humnaa fi beekumsa kan qabu. 2] kan danda'u.",,,,,,,,
able-bodied,,<h3>Cibra</h3> 1] ga'umsa qaamaa kan qabu.,,,,,,,,
ablegate,,"<h3>Cibra</h3> 1] ergamaa phaaphaasii, keessumaa bakka bu'aa biyya alaa.",,,,,,,,
ablutions,,<h3>Cibra</h3> 1] harka yookiin dhaqna dhiqachuu (kees. wayita sagaduuf jedhanitti),,,,,,,,
abnegate,,<h3>Gochima</h3> 1] of ganuu,,,,,,,,
abnormal,,"<h3>Maqibsa</h3> 1] waan beekamu yookiin waan  barame irraa adda kan ta'e, waan keessummaa.",,,,,,,,
aboard,,"<h3>Maqibsa</h3> 1] doonii, baaburaa fi xiyyaara kan yaabbatan.",,,,,,,,
abode,,"<h3>Cibra</h3> 1] mana, bakka jireenyaa",,,,,,,,
abolish,,"<h3>Gochima</h3> 1] dhabamsiisuu, barbadeessuu, haquu",,,,,,,,
abominable,,"<h3>Maqibsa</h3> 1] suukanneessaa, jibbisiisaa 2] baay'ee gadhee",,,,,,,,
abominate,,"<h3>Gochima</h3> 1] jibbuu, balfuu",,,,,,,,
abomination,,"<h3>Cibra</h3> 1] suukanneessaa, jibbisisaa",,,,,,,,
aboriginal,,"<h3>Maqibsa</h3> 1] durii jalqabee lafa tokko irra kan jiraate, abbaa biyyaa",,,,,,,,
aborigine,,"<h3>Cibra</h3> 1] biyya tokko keessa durii jalqabee namoota jiraachaa turan, abba biyyaa",,,,,,,,
abort,,<h3>Gochima</h3> 1] ulfa ofirraa baasuu 2] gatachuu,,,,,,,,
Abort (ICT),,"<h3>Gochima</h3> 1] Kuti, Kuti, (ICT, Jecha Kompiitaraa)",,,,,,,,
abortion,,"<h3>Cibra</h3> 1] ulfa-baasuu, hankaassa",,,,,,,,
abortive,,"<h3>Maqibsa</h3> 1] karoora hin milkoofne, bu'aa-maleessa",,,,,,,,
abound,,<h3>Gochima</h3> 1] baay'inaan argamuu,,,,,,,,
about,,<h3>Durgala</h3> 1] waa'ee,,,,,,,,
About (ICT),,"<h3>Durgala</h3> 1] Hanga, Waa’ee, Waayee, Wayyee, Waayee, (ICT, Jecha Kompiitaraa)",,,,,,,,
above,,"<h3>Xumibsa</h3> 1] irra, irra-keessa, ol",,,,,,,,
abrade,,"<h3>Gochima</h3> 1] riguu, quncisuu",,,,,,,,
abrasion,,"<h3>Cibra</h3> 1] dhagna hooquudhaan gogaan akka dheekkamu taasisuu, horbobbuu",,,,,,,,
abrasive,,"<h3>Maqibsa</h3> 1] saakarraa'aa, wayita tuqan waan nama quuqu",,,,,,,,
abreast,,<h3>Xumibsa</h3> 1] wal cinaa (kallatti tokkotti garagaluudhaan yookiin kallatti tokkotti fuulleffachuudhaan),,,,,,,,
abridge,,<h3>Gochima</h3> 1] gabaabsuu (katabbii kitaabaa fi kkf),,,,,,,,
abridgment,,<h3>Cibra</h3> 1] katabbii gabaabbate (waan akka asoosamaafi kkf),,,,,,,,
abroad,,"<h3>Cibra</h3> 1] biyya alaa, biyya bakkee",,,,,,,,
abrogate,,"<h3>Gochima</h3> 1] diiguu, dhabamsiisuu",,,,,,,,
abrogation,,<h3>Cibra</h3> 1] diguu (seera),,,,,,,,
abrupt,,"<h3>Maqibsa</h3> 1] waan itti hin yaadamiin, waan tasaa 2] addaan kukkutuu (haasaa)",,,,,,,,
abruptly,,<h3>Xumibsa</h3> 1] akka tasaa,,,,,,,,
abruptness,,"<h3>Cibra</h3> 1] addaan ciccituu (sagaleedhaaf) 2] addaggummaa, kabajaa agarsiisuu dhabuu",,,,,,,,
abscess,,<h3>Cibra</h3> 1] dhiitoo malaa qabu,,,,,,,,
abscond,,<h3>Gochima</h3> 1] utuu namni hin beekiin suuta miliquu (akka hin hidhamne),,,,,,,,
abseentism,,<h3>Cibra</h3> 1] argamuu dhabuu. hafuu (hojiif kkf irraa),,,,,,,,
absence,,<h3>Cibra</h3> 1] argamuu dhabuu 2] hafuu (barnootarraa),,,,,,,,
absent,,"<h3>Xumibsa</h3> 1] kan hin jirre, kan hafe, kan hin argamne",,,,,,,,
absentee,,<h3>Gochima</h3> 1] bakka silaa argamu qabutti nama hin argamiin hafe.,,,,,,,,
absolute,,"<h3>Maqibsa</h3> 1] hir'ina kan hin qabne, amansiisaa, daangaa maleessa (aangoodhaaf)",,,,,,,,
Absolute Path Name (ICT),,"<h3>Cibra</h3> 1] Maqaa Daandii Of Danda’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Absolute Reference (ICT),,"<h3>Cibra</h3> 1] Irkoo Haqaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Absolute Value (ICT),,"<h3>Cibra</h3> 1] Gatii Of Danda’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
absolutely,,"<h3>Xumibsa</h3> 1] gonkumaa, tasumaa, abadan, cirayyuu, matumaa",,,,,,,,
absolution,,"<h3>Cibra</h3> 1] cubbuu irraa dhiiqamuu, dhiifamuu cubbuu. aagii",,,,,,,,
absolutism,,<h3>Cibra</h3> 1] sirna ol'aantummaa siyaasaa kan gartuu tokkoo kophaa,,,,,,,,
absolve,,<h3>Gochima</h3> 1] namni tokko balleessaa yookiin yakka irraa walaba tu'uu isaa labsuu 2] qulleessuu (cubbuu irraa),,,,,,,,
absorb,,"<h3>Gochima</h3> 1] xuuxuu, harkisuu (dhangala'aaf)",,,,,,,,
absorbent,,<h3>Cibra</h3> 1] waanta waan dangala'aa laafaatii xuuxu/harkisu,,,,,,,,
absorbing,,"<h3>Maqibsa</h3> 1] kan qalbii namaa hawwatu, kan xuuxu",,,,,,,,
absorption,,<h3>Cibra</h3> 1] yaadaun liqimsamuuu,,,,,,,,
abstain,,<h3>Gochima</h3> 1] sagalee kennuu irraa of qusachuu (filannoo irratti) 2] waan jaallatun gochu irraa of ittisuu.,,,,,,,,
abstemious,,<h3>Maqibsa</h3> 1] nama baay'ee hin nyaannee fi hin dhugne. 2] waan barbaadan yookin jaallatan akka fedhanitti argachuu dhabuu.,,,,,,,,
abstention,,<h3>Cibra</h3> 1] Waan tokko gochuu irraa of tiksuu (kees. filannoo irratti sagalee kennuu irraa),,,,,,,,
abstinence,,<h3>Cibra</h3> 1] waan tokko guutuummaatti lagachuu (saalquunnamtiifi kkf),,,,,,,,
abstract,,"<h3>Maqibsa</h3> 1] waan yaadumaan mul'atu garuummoo qabatamaan hin jirre (axareeraa, yaada waliigalaa, kan kitaabaafi kkf gabaabaatti cuunfamee kan barreeffame)",,,,,,,,
abstract noun,,"<h3>Cibra</h3> 1] maqaa wantoo, killayyaa",,,,,,,,
abstruse,,<h3>Maqibsa</h3> 1] hubachuuf ulfaataa waan ta'e tokko,,,,,,,,
absurd,,"<h3>Maqibsa</h3> 1] waan amansisaa hin taane. kan sababa hin qabne 2]gowwaa, jufunfula",,,,,,,,
absurdism,,"<h3>Cibra</h3> 1] waan hiika hin qabne, gochaa gowwaa",,,,,,,,
Abu Dhabi,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Imireeta Araba Gamtoome,,,,,,,,
Abuja,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Naajeeriyaa,,,,,,,,
abundance,,"<h3>Cibra</h3> 1] baay'ina, heddumina, cafii",,,,,,,,
abundant,,"<h3>Maqibsa</h3> 1] wacaqa, hedduu, baay'ee, danuu",,,,,,,,
abuse,,<h3>Gochima</h3> 1] waan gadheetiif itti fayyadamuu (aangoo fi mirga qaban) 2] miidhuu 3] arrabsuu,,,,,,,,
abusive,,"<h3>Maqibsa</h3> 1] nama nama arrabsu, jecha ulfina namaa sulphisu",,,,,,,,
abute,,<h3>Gochima</h3> 1] arrabsuu,,,,,,,,
abysmal,,<h3>Maqibsa</h3> 1] baay'ee gadhee 2] ol'aanaa guddaa,,,,,,,,
abyss,,"<h3>Cibra</h3> 1] qiliilee, bowwaa gad fagoo",,,,,,,,
acacia,,"<h3>Cibra</h3> 1] dhaddacha, ajoo, laaftoo, garbii",,,,,,,,
academic,,"<h3>Maqibsa</h3> 1] kan barnootaa, barnootatti 2] hojii barkaan hojjetamu caalaatti dubbisuu fi qu'annoo irratti kan xiyyeeffate.",,,,,,,,
academy,,<h3>Cibra</h3> 1] akkaadaamii,,,,,,,,
accede,,"<h3>Gochima</h3> 1] bakka ol'aanaa qabachuu (kees. Mootii yookiin giiftii ta'uuf) 2] Walii galuu, wal ta'uu",,,,,,,,
accelerate,,<h3>Gochima</h3> 1] sardamsuu dabaluu,,,,,,,,
acceleration,,<h3>Cibra</h3> 1] sardamsuu,,,,,,,,
Acceleration Board (ICT),,"<h3>Cibra</h3> 1] Gabatee Guulinsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
accelerator,,<h3>Cibra</h3> 1] meeshaa saffisa makiinaa to'atu kan makiinaa kaassa jiru.,,,,,,,,
Accelerator Key (ICT),,"<h3>Cibra</h3> 1] Furtuu Qaxxaamuraa, (ICT, Jecha Kompiitaraa)",,,,,,,,
accent,,<h3>Cibra</h3> 1] akkaataa itti haasa'an ykn dubbatan. 2] axarroo mataa jechootaa irra kaa'amu.,,,,,,,,
Accent (ICT),,"<h3>Cibra</h3> 1] Malduu, Malduu, (ICT, Jecha Kompiitaraa)",,,,,,,,
Accent Acute (ICT),,"<h3>Maqibsa</h3> 1] Malduu Mirgaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Accent Breve (ICT),,"<h3>Cibra</h3> 1] Malduu Olgaraa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Accent Circumflex (ICT),,"<h3>Cibra</h3> 1] Malduu Hoxxee, (ICT, Jecha Kompiitaraa)",,,,,,,,
Accent Dieresis (ICT),,"<h3>Cibra</h3> 1] Malduu Waraabbii, (ICT, Jecha Kompiitaraa)",,,,,,,,
Accent Grave (ICT),,"<h3>Cibra</h3> 1] Malduu Bitaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Accent Macron (ICT),,"<h3>Cibra</h3> 1] Malduu Rogarfee, (ICT, Jecha Kompiitaraa)",,,,,,,,
Accent Tilde (ICT),,"<h3>Cibra</h3> 1] Yaatuu, (ICT, Jecha Kompiitaraa)",,,,,,,,
accept,,<h3>Gochima</h3> 1] fudhachuu,,,,,,,,
Accept (ICT),,"<h3>Gochima</h3> 1] Fudhachuu, Fudhu, (ICT, Jecha Kompiitaraa)",,,,,,,,
acceptability,,<h3>Cibra</h3> 1] fudhatamummaa,,,,,,,,
acceptable,,<h3>Maqibsa</h3> 1] fadhatamaa,,,,,,,,
access,,"<h3>Cibra</h3> 1] mala ykn daandii waan tokko bira gahuuf nama dandeessisu, odeeffannoo fudhachuuf ykn kaa'achuuf harshama Kompiiteraa banuu",,,,,,,,
Access (ICT),,"<h3>Gochima/Cibra</h3> 1] Gahi, Gahiinsa, Gahi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Access Code (ICT),,"<h3>Cibra</h3> 1] Lakkadda Gahiinsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Access Control (ICT),,"<h3>Cibra</h3> 1] Too’annaa Gahiinsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Access Group (ICT),,"<h3>Cibra</h3> 1] Garee Gahiinsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Access Key (ICT),,"<h3>Cibra</h3> 1] Furtuu Gahiinsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Access Mode (ICT),,"<h3>Cibra</h3> 1] Haalata Gahiinsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Access Permission (ICT),,"<h3>Cibra</h3> 1] Hayyama Gahiinsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Access Time (ICT),,"<h3>Cibra</h3> 1] Yeroo Gahiinsaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Accessibility (ICT),,"<h3>Cibra</h3> 1] Gaheenya, Gaheenya, (ICT, Jecha Kompiitaraa)",,,,,,,,
accessible,,<h3>Maqibsa</h3> 1] itti fayyadamuu ykn bira gahuun waan danda'amu.,,,,,,,,
accession,,"<h3>Cibra</h3> 1] dubamuu, aangoo argachuu, muudamuu 2] Dabala, Edaasa",,,,,,,,
Accessories (ICT),,"<h3>Cibra</h3> 1] Iddaannoo, Iddaannoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
accessory,,<h3>Cibra</h3> 1] meeshaalee jijjiirraa makiinaa fi kaameeraa 2] nama yakka hejjechuu irratti nama gargaaru ykn kan akkaataa yakkaa beeku 3] faaya dubartootaa,,,,,,,,
accident,,<h3>Cibra</h3> 1] Balaa,,,,,,,,
accidental,,"<h3>Maqibsa</h3> 1] waan tasaa, waan hin yaadamiin",,,,,,,,
accidentally,,"<h3>Xumibsa</h3> 1] tasa, otoo hin yaadamiin, dimmaa",,,,,,,,
acclaim,,<h3>Gochima</h3> 1] waan tokko gammachuudhaan fudhachuu 2] nama tokko uummata fuulduratti leellisuu,,,,,,,,
acclamation,,<h3>Cibra</h3> 1] simannaa o'aa,,,,,,,,
acclimatize,,<h3>Gochima</h3> 1] madaquu,,,,,,,,
accolade,,<h3>Cibra</h3> 1] kabajaa argachuu,,,,,,,,
accommodate,,<h3>Gochima</h3> 1] bakka bultii namaaf kennuu 2] yeroo karoora baasan waantota tokko tokko Hubannoo keessa galchuu 3] madaquu 4] gargaaruu,,,,,,,,
accommodation,,<h3>Maqibsa</h3> 1] mana kutaa tokko ykn lama qabu kan keessa jiraachuuf ta'u. 2] walta'insa,,,,,,,,
accompaniment,,"<h3>Maqibsa</h3> 1] kan faana deemu, waanta waan kan biraa utubu, jalee 2] waa'ila (muuziqaaf)",,,,,,,,
accompanist,,<h3>Cibra</h3> 1] meeshaa muuziqaa nama taphatu,,,,,,,,
accompany,,<h3>Gochima</h3> 1] faana deemuu 2] erga waan tokko namatti kennanii booda waan kan biraa immoo faana kennuu. 3] meeshaa muuziqaa taphachuu,,,,,,,,
accomplice,,"<h3>Cibra</h3> 1] tumsaa, tumsituu, baabsituu",,,,,,,,
accomplish,,"<h3>Gochima</h3> 1] fiixaan baasuu, raawwachuu",,,,,,,,
accomplished,,"<h3>Maqibsa</h3> 1] kan ogummaa qabu, sirriitti kan leenjifame",,,,,,,,
accomplishment,,<h3>Gochima</h3> 1] waan tokko haala milkaa'een xumuruu 2] kennaa uumamaa 3] milkaawwii,,,,,,,,
accord,,"<h3>Cibra</h3> 1] walii galtee, aangoo ykn mirga kennuu",,,,,,,,
accordingly,,"<h3>Xumibsa</h3> 1] haaluma kanaan, kanaaf",,,,,,,,
accordion,,<h3>Cibra</h3> 1] Akkoordiyoonii (gosa meeshaa muuziqaati),,,,,,,,
accost,,<h3>Gochima</h3> 1] nama hin beekne itti dhiyaatanii haasofsiisuu,,,,,,,,
account,,<h3>Cibra</h3> 1] herrega 2] maallaqa mana baankii kaa'ame 3] gabaasa waan tokkoo (kees. poolisiif dhiyaatu),,,,,,,,
Account (ICT),,"<h3>Cibra</h3> 1] Herrega, Eenyummeessa, (ICT, Jecha Kompiitaraa)",,,,,,,,
accountable,,"<h3>Maqibsa</h3> 1] gaafatamaa, gaafatamtuu (waan itti gaafatamummaan namarra jirutti)",,,,,,,,
accountant,,"<h3>Cibra</h3> 1] herregaa, herregduu",,,,,,,,
Accra,,<h3>Maqqofee</h3> 1] magaalaa guddoo biyya Gaanaa,,,,,,,,
accredit,,"<h3>Gochima</h3> 1] Muuduu (Ambaasaaddara) 2] fudhama kan argate (yaada, amantii fi kkf)",,,,,,,,
accrue,,"<h3>Gochima</h3> 1] guddachuu, dabaluu",,,,,,,,
accumulate,,<h3>Gochima</h3> 1] waan tokko suuta walitti qabanii baay'ifachuu.,,,,,,,,
accumulator,,<h3>Cibra</h3> 1] baatirii huna elektirikiin guutamu,,,,,,,,
Accumulator (ICT),,"<h3>Cibra</h3> 1] Kuufataa, Kuufataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
accuracy,,"<h3>Cibra</h3> 1] sirrummaa, dogoggora dhabuu",,,,,,,,
Accuracy (ICT),,"<h3>Cibra</h3> 1] Sirrina, Sirrina, (ICT, Jecha Kompiitaraa)",,,,,,,,
accurate,,"<h3>Maqibsa</h3> 1] sirrii, dogoggora kan hin qabne",,,,,,,,
Accurate (ICT),,"<h3>Cibra</h3> 1] Sirrii, Sirrii, (ICT, Jecha Kompiitaraa)",,,,,,,,
accurately,,"<h3>Xumibsa</h3> 1] qajeeltootti, dogoggora malee",,,,,,,,
accursed,,"<h3>Maqibsa</h3> 1] abaaramaa, sokkaa'amaa",,,,,,,,
accusation,,"<h3>Cibra</h3> 1] himannaa, himata",,,,,,,,
accusative,,"<h3>Cibra</h3> 1] aantima, antima, irraawwatama",,,,,,,,
accuse,,"<h3>Gochima</h3> 1] yakkuu, himachuu",,,,,,,,
accused,,"<h3>Maqibsa</h3> 1] himatamaa, himatamtuu",,,,,,,,
accuser,,"<h3>Cibra</h3> 1] himataa, himattuu",,,,,,,,
accustom,,"<h3>Gochima</h3> 1] waan tokko itti baruu, of madaqsuu",,,,,,,,
accustomed,,"<h3>Maqibsa</h3> 1] waan beekamaa, waan baratame",,,,,,,,
ace,,<h3>Cibra</h3> 1] nama dandeettii guddaa qabu. 2] kaartaa isa ittiin taphatan (lakkoofsa tokko),,,,,,,,
acerbity,,<h3>Cibra</h3> 1] amala ykn haasaa hamaa,,,,,,,,
acetic,,<h3>Maqibsa</h3> 1] dhangaggaa'aa,,,,,,,,
acetylene,,<h3>Cibra</h3> 1] gaasii bifa maleessa (C2h2] kan waan akka sibiilaa walitti suphuuf gargaaru,,,,,,,,
ache,,<h3>Cibra</h3> 1] waraansa,,,,,,,,
achieve,,<h3>Gochima</h3> 1] waan barbaadan argachuu,,,,,,,,
achievement,,<h3>Cibra</h3> 1] hojii haala milkaa'aan hojjetamee galma isaa gahe.,,,,,,,,
acid,,<h3>Cibra</h3> 1] asiidii,,,,,,,,
acidic,,<h3>Maqibsa</h3> 1] asiidawaa,,,,,,,,
acidity,,<h3>Maqibsa</h3> 1] asiidummaa,,,,,,,,
